# RuleNumber.TestNumber | DiscoveryRule/TestRule | True/False | Path

# TV files must contain {tvdb-xxxxxxx} or {tmdb-xxxxxxx} in the file name
     
 4.6  | T | True  | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
 4.7  | D | False | "X:\_Movies\Chernobyl {tvdb-360893}\Season 1\Chernobyl s01e01 TBA [Bluray-2160p Remux].mkv" 
 
 
# Movies, Comedy and Concerts files must be a special feature or have {tmdb- in the file name
     
 5.1  | T | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men (1957) {tmdb-389} {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 5.2  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-scene.mkv"
 5.3  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men (1957) {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 5.4  | D | False | "X:\_TV\Chernobyl {tvdb-360893}\Chernobyl s01e01 12345 [Bluray-2160p Remux].mkv"
 5.5  | D | False | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
 5.6  | D | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men (1957) {tmdb-389} {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 5.7  | D | False | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-scene.mkv"
 

# Movies, Comedy and Concerts files must either be a special feature or start with the folder name in the file name
     
 6.1  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Blood Brothers (1989).mkv"
 6.2  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-featurette.mkv"
 6.3  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-other.mkv"
 6.4  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-interview.mkv"
 6.5  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-scene.mkv"
 6.6  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-short.mkv"
 6.7  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-deleted.mkv"
 6.8  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-behindthescenes.mkv"
 6.9  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-trailer.mkv"
 6.10 | T | True  | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][h265].mkv"
 6.11 | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 6.12 | T | False | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
 6.13 | T | False | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-trailertest.mkv"
 6.14 | D | False | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
 6.15 | D | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men (1957) {tmdb-389} {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 6.16 | D | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-scene.mkv"
 
	
# Movies, Comedy and Concerts files that have {edition-} specified must have a valid value in the file name

 7.1  | D | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 7.2  | D | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 7.3  | T | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 7.4  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-MYFAVOURITE} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 7.5  | D | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-MYFAVOURITE} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 7.6  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-36TH ANNIVERSARY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 7.7  | T | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-75TH ANNIVERSARY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
   
   
# Movies, Comedy, Concerts and TV files must not contain subtitles in the file name
            
 8.1  | T | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"          
 8.2  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men.subtitles.srt"
 8.3  | D | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 8.4  | D | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"


# Movies, Comedy, Concerts and TV files must not contain () in the file name
      
 9.1  | T | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 9.2  | T | False | "X:\_Movies\12 Angry Men ()\12 Angry Men.mkv"
 9.3  | D | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
 9.4  | D | True  | "X:\_TV (non-tvdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
 9.5  | D | False | "X:\_Music\Blood Brothers (1989)\Example 1-behindscenes.mkv"


# Movies, Comedy, Concerts and TV files must not contain (0) in the file name
      
10.1  | T | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
10.2  | T | False | "X:\_Movies\12 Angry Men (0)\12 Angry Men.mkv"
10.3  | D | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
10.4  | D | True  | "X:\_TV (non-tvdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
10.5  | D | False | "X:\_Music\Blood Brothers (1989)\Example 1-behindscenes.mkv"


# Movies, Comedy, Concerts and TV files must not contain Proper] in the name
     
11.1  | T | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
11.2  | T | False | "X:\_Movies\12 Angry Men (0)\12 Angry Men [Remux-1080p Proper].mkv"
11.3  | D | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
11.4  | D | True  | "X:\_TV (non-tvdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
11.5  | D | False | "X:\_Music\Blood Brothers (1989)\Example 1-behindscenes.mkv"


# Movies, Comedy, Concerts and TV files must not contain REAL] in the file name
     
12.1  | T | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
12.2  | T | False | "X:\_Movies\12 Angry Men (0)\12 Angry Men [Remux-1080p Proper REAL].mkv"
12.3  | D | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
12.4  | D | True  | "X:\_TV (non-tvdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
12.5  | D | False | "X:\_Music\Blood Brothers (1989)\Example 1-behindscenes.mkv"

 
# Movies, Comedy, Concerts and TV files must end with a valid file extension in the file name 

13.1  | T | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
13.2  | T | False | "X:\_Movies\12 Angry Men (0)\12 Angry Men [Remux-1080p].bob"
13.3  | D | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
13.4  | D | True  | "X:\_TV (non-tvdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
13.5  | D | False | "X:\_Music\Blood Brothers (1989)\Example 1-behindscenes.mkv"


# TV files special features must be in the root folder of the show with a correct suffix
      
14.1  | D | True  | "X:\_TV\Chernobyl {tdb-360893}\Season 1\Chernobyl s01e01 12345 [Bluray-2160p Remux]-other.mkv"
14.2  | D | True  | "X:\_TV\Chernobyl {tdb-360893}\Chernobyl s01e01 12345 [Bluray-2160p Remux]-other.mkv"
14.3  | D | True  | "X:\_TV\Chernobyl {tdb-360893}\Season 1\Chernobyl s01e01 12345 [Bluray-2160p Remux]-bobby.mkv"
14.4  | D | True  | "X:\_TV\Chernobyl {tdb-360893}\Chernobyl s01e01 12345 [Bluray-2160p Remux]-bobby.mkv"
14.5  | D | False | "K:\_TV\American Horror Story {tvdb-250487}\Season 1\American Horror Story s01e01 Pilot [HDTV-720p].mkv"
14.6  | D | False | "Z:\_TV\MasterChef Australia {tvdb-92091}\Season 7\MasterChef Australia s07e34 Off-site Challenge Tokyo Tina vs. Saigon Sally [SDTV].mp4"
14.7  | D | True  | "Z:\_TV\MasterChef Australia {tvdb-92091}\Season 7\MasterChef Australia s07e34 Off-site Challenge Tokyo Tina vs. Saigon Sally [SDTV]-other.mp4"
14.8  | D | False | "K:\_TV\Westworld {tvdb-296762}\Season 2\Westworld s02e50 - An Evocative Location.mkv"
14.9  | T | True  | "X:\_TV\Game of Thrones {tvdb-121361}\Reunion Special-featurette.mkv"
14.10 | T | False | "X:\_TV\Game of Thrones {tvdb-121361}\Season 1\Reunion Special-featurette.mkv"
14.11 | T | False | "Z:\_TV\MasterChef Australia {tvdb-92091}\Season 7\MasterChef Australia s07e34 Off-site Challenge Tokyo Tina vs. Saigon Sally [SDTV].mp4"
14.12 | T | False | "Z:\_TV\MasterChef Australia {tvdb-92091}\Season 7\MasterChef Australia s07e34 Off-site Challenge Tokyo Tina vs. Saigon Sally [SDTV]-other.mp4"
14.13 | D | False | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
14.14 | D | True  | "X:\_TV (non-tvdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
14.15 | D | False | "X:\_Music\Blood Brothers (1989)\Example 1-behindscenes.mkv"


# Movies, Comedy, and Concerts files special features must be in the root folder of the movie with a correct suffix    

15.1  | D | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]-other.mkv"
15.2  | D | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]-bobby.mkv"
15.3  | D | True  | "X:\_Movies\12 Angry Men (1957)\Other\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]-other.mkv"
15.4  | D | True  | "X:\_Movies\12 Angry Men (1957)\Other\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]-bobby.mkv"
15.5  | T | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]-featurette.mkv"
15.6  | T | True  | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][h265]-other.mkv"
15.7  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]-feature.mkv"
15.8  | T | False | "X:\_Movies\12 Angry Men (1957)\Special Features\12 Angry Men Making Of-featurette.mkv"
15.9  | T | False | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\Other\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][h265]-featurette.mkv"
15.10 | T | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]-other.mkv"
15.11 | T | True  | "Q:\_Comedy\Rhod Gilbert and the Award-Winning Mince Pie (2009)\The Audience-short.mkv"
15.12 | T | False | "Q:\_Comedy\Rhod Gilbert and the Award-Winning Mince Pie (2009)\The Audience-short..mkv"
15.13 | D | False | "X:\_TV (non-tvdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
15.14 | D | False | "X:\_Music\Blood Brothers (1989)\Example 1-behindscenes.mkv"
    

# Movies, Comedy, Concerts and TV files must not have double '.' before the extension

16.1  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]..mkv"
16.2  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men [Remux-1080p]..mkv"
16.3  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men [Remux-1080p]-other..mkv"
16.4  | T | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men [Remux-1080p]-other.mkv"
16.5  | T | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men [Remux-1080p].mkv"
16.6  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264]..mkv"
16.7  | T | False | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].."
16.8  | T | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1..0][h264].mkv"
16.9  | T | True  | "\\nas1\assets1\_TV\Mr Benn {tvdb-72516}\As If By Magic...The Story Behind Mr Benn-featurette.mkv"
16.10 | T | True  | "X:\_Movies\Beck 12 The Loner (2002)\Beck 12 The Loner (2002) {tmdb-263120} [WEBRip-1080p][AAC 2.0][h264].es.srt"
16.11 | D | True  | "X:\_Concerts\12 Angry Men (1957)\12 Angry Men {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
16.12 | D | True  | "X:\_TV (non-tvdb)\Blood Brothers (1989)\Example 1-behindscenes.mkv"
16.13 | D | False | "X:\_Music\Blood Brothers (1989)\Example 1-behindscenes.mkv"


# Movies files must either be a special feature or named correctly

17.1  | T | True  | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][TrueHD Atmos 7.1][h265].mkv"
17.2  | T | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-behindthescenes.mkv"
17.3  | T | False | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-trailertest.mkv"
17.4  | D | False | "Z:\_TV\Tom and Jerry {tvdb-72860}\Season 1940\Tom and Jerry s1940e01 Puss Gets The Boot [SDTV].mkv"
17.5  | D | True  | "X:\_Movies\12 Angry Men (1957)\12 Angry Men (1957) {tmdb-389} {edition-BLURAY} [Remux-1080p][DTS-HD MA 1.0][h264].mkv"
17.6  | D | True  | "X:\_Movies (non-tmdb)\Blood Brothers (1989)\Example 1-scene.mkv"
17.7  | T | True  | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][h265].mkv"
17.8  | T | False | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][bob].mkv"
17.9  | T | True  | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-30TH ANNIVERSARY} [Remux-2160p][DV HDR10][FLAC 1.0][VC1].mkv"
17.10 | T | True  | "X:\_Movies (non-tmdb)\The Lord of the Rings (2003)\The Lord of the Rings (2003) {tmdb-120} {edition-THE COMPLETE EXTENDED} [Remux-2160p][EAC3 Atmos 7.1][VC1].mkv"
17.11 | T | True  | "\\nas3\assets4\_Movies (non-tmdb)\Blood Brothers (1989)\Blood Brothers (1989) [Remux-1080p][FLAC 1.0][x264].en.hi.srt"
17.12 | T | True  | "\\nas1\assets4\_Movies\Aliens (1986)\Aliens (1986) {tmdb-679} [Remux-2160p][HDR10][AC3 5.1][h265].mkv"
17.13 | T | True  | "\\nas1\assets4\_Movies\Guy Ritchies The Covenant (2023)\Guy Ritchies The Covenant (2023) {tmdb-882569} [WEBDL-2160p][HDR10Plus][EAC3 Atmos 5.1][h265].es.srt"
17.14 | T | True  | "\\nas1\assets4\_Movies\Guy Ritchies The Covenant (2023)\Guy Ritchies The Covenant (2023) {tmdb-882569} [WEBDL-2160p][HDR10Plus][EAC3 Atmos 5.1][h265].mkv"
17.15 | T | True  | "\\nas1\assets4\_Movies\Extraction 2 (2023)\Extraction 2 (2023) {tmdb-697843} [WEBDL-1080p][DV][EAC3 Atmos 5.1][HEVC].mkv"
17.16 | T | True  | "\\nas1\assets4\_Movies\Extraction 2 (2023)\Extraction 2 (2023) {tmdb-697843} [WEBDL-1080p][DV][EAC3 Atmos 4.0][HEVC].mkv"
17.17 | T | True  | "\\nas5\assets3\_Movies\Tootsie (1982)\Tootsie (1982) {tmdb-9576} [Remux-1080p][DTS-X 8.0][AVC].mkv"
17.18 | T | False | "\\nas1\assets4\_Movies\The 4th Man (1983)\The 4th Man (1983) {tmdb-29140} [DVD][AC3 2.0][].en.srt"
17.19 | T | False | "\\nas1\assets4\_Movies\Angelique The Road To Versailles (1965)\Angelique The Road To Versailles (1965) {tmdb-44453} [Bluray-1080p]][x264].en.srt"
17.20 | T | False | "\\nas2\assets2\_Movies\A Murder of Crows (1999)\A Murder of Crows (1999) {tmdb-17263} [HDTV-1080p][MP3 2.0][].avi"
17.21 | T | True  | "\\nas3\assets2\_Movies\Creature from the Black Lagoon (1954)\Creature from the Black Lagoon (1954) {tmdb-10973} [Remux-1080p][3D][DTS-HD MA 2.0][AVC].mkv"  
17.22 | T | True  | "\\nas4\assets1\_Movies\LEGO Marvel Avengers Time Twisted (2022)\LEGO Marvel Avengers Time Twisted (2022) {tmdb-940543} [WEBDL-1080p][Opus 2.0][VP9].mkv"
17.23 | T | False | "\\nas3\assets4\_Movies\Apocalypse Now (1979)\Apocalypse Now (1979) {tmdb-28} {edition-FINAL CUT} [Remux-2160p][DV HDR10][TrueHD Atmos 7.1][h265].1.es.srt"
17.24 | T | False | "\\nas3\assets4\_Movies (non-tmdb)\12 Angry Men (1957)\12 Angry Men (1957) {tmdb-389} {edition-CRITERION COLLECTION} [Remux-1080p].es.srt"
17.25 | T | False | "\\nas3\assets4\_Movies (non-tmdb)\Blood Brothers (1989)\Blood Brothers (1989).mp4"
17.26 | T | False | "\\nas4\assets1\_Movies\What Becomes of the Broken Hearted (1999)\What Becomes of the Broken Hearted (1999) {tmdb-13893} [DVD][AC3 2.0][].es.srt"
17.27 | T | False | "\\nas4\assets1\_Movies\Full Tilt Boogie (1998)\Full Tilt Boogie (1998) {tmdb-36606} [Bluray-1080p][DTS 2.0][x264].hi.srt"
17.28 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTS 1.0][h264].mkv"
17.29 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTS-X 2.0][h265].mkv"
17.30 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTS-ES 3.0][VP9].mkv"
17.31 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTS HD 3.1][VC1].mkv"
17.32 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTS-HD MA 4.0][MPEG2].mkv"
17.33 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTS-HD HRA 5.0][VP9].mkv"
17.34 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][TrueHD Atmos 5.1][VP9].mkv"
17.35 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][EAC3 6.0][VP9].mkv"
17.36 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][EAC3 Atmos 6.1][VP9].mkv"
17.37 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][AC3 7.1][VP9].mkv"
17.38 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][FLAC 8.0][VP9].mkv"
17.39 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][PCM 2.0][VP9].mkv"
17.40 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][MP3 2.0][VP9].mkv"
17.41 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][AAC 2.0][VP9].mkv"
17.42 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][TrueHD 2.0][VP9].mkv"
17.43 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][AVC 2.0][VP9].mkv"
17.44 | T | True  | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][Opus 2.0][VP9].mkv"
17.45 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DT 2.0][VP9].mkv"
17.46 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTS- 2.0][VP9].mkv"
17.48 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTSES 2.0][VP9].mkv"
17.49 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTSHD 2.0][VP9].mkv"
17.50 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTS-HDMA 2.0][VP9].mkv"
17.51 | T | False | "\\nas4\assets1\_Movies\A (2022)\A (2022) {tmdb-1} [DVD][DTSHD-HRA 2.0][VP9].mkv"
